player_display_name,position,season,fantasy_points_ppr,adp_round,adp,rank,draft_outcome
Robert Woods,WR,2022,117.7,9.0,102.5,56,
Marvin Jones,WR,2022,116.9,,,57,
Kalif Raymond,WR,2022,116.2,,,58,
Devin Duvernay,WR,2022,116.10000000000001,,,59,
Josh Allen,QB,2023,392.64,3.0,26.6,1,
Jalen Hurts,QB,2023,356.82,3.0,26.9,2,
Dak Prescott,QB,2023,342.84000000000003,7.0,82.2,3,
Lamar Jackson,QB,2023,331.22,4.0,36.9,4,
Jordan Love,QB,2023,319.06,13.0,155.5,5,Big Value
Brock Purdy,QB,2023,295.6,13.0,152.5,6,Big Value
Jared Goff,QB,2023,289.1,11.0,122.6,7,
Patrick Mahomes,QB,2023,280.22,2.0,19.6,8,
C.J. Stroud,QB,2023,276.02,,,9,
Baker Mayfield,QB,2023,274.06,,,10,
Tua Tagovailoa,QB,2023,270.36,8.0,84.9,11,
Trevor Lawrence,QB,2023,262.54,5.0,58.4,12,Big Bust
Sam Howell,QB,2023,257.54,,,13,
Russell Wilson,QB,2023,256.90000000000003,11.0,129.9,14,
Matthew Stafford,QB,2023,243.1,13.0,151.0,15,
Derek Carr,QB,2023,241.12,13.0,145.3,16,
Justin Herbert,QB,2023,234.16,5.0,50.3,17,Big Bust
Justin Fields,QB,2023,230.18,5.0,48.8,18,Big Bust
Geno Smith,QB,2023,227.26,10.0,109.9,19,
Gardner Minshew,QB,2023,196.20000000000002,,,20,
Desmond Ridder,QB,2023,177.14000000000001,,,21,
Bryce Young,QB,2023,156.38,,,22,
Kirk Cousins,QB,2023,149.74,9.0,99.4,23,
Joe Burrow,QB,2023,147.16,4.0,43.2,24,Big Bust
Christian McCaffrey,RB,2023,391.3,1.0,2.4,1,
Breece Hall,RB,2023,290.5,4.0,36.6,2,
Travis Etienne,RB,2023,282.4,3.0,34.7,3,
Rachaad White,RB,2023,267.9,6.0,68.1,4,Big Value
Raheem Mostert,RB,2023,267.7,11.0,122.8,5,Season Winner
Joe Mixon,RB,2023,267.0,3.0,31.4,6,
Kyren Williams,RB,2023,255.0,16.0,,7,Season Winner
Derrick Henry,RB,2023,246.66000000000003,2.0,17.9,8,
Bijan Robinson,RB,2023,246.3,1.0,8.8,9,
Jahmyr Gibbs,RB,2023,242.10000000000002,4.0,36.7,10,
Alvin Kamara,RB,2023,233.0,6.0,69.2,11,Big Value
James Cook,RB,2023,232.70000000000002,7.0,77.6,12,Season Winner
Saquon Barkley,RB,2023,223.20000000000002,1.0,9.0,13,
Tony Pollard,RB,2023,222.60000000000002,2.0,15.2,14,
Isiah Pacheco,RB,2023,213.9,7.0,79.2,15,Big Value
Jerome Ford,RB,2023,211.20000000000002,14.0,157.4,16,Big Value
David Montgomery,RB,2023,207.2,7.0,76.8,17,Big Value
James Conner,RB,2023,201.5,6.0,66.2,18,Value
Kenneth Walker III,RB,2023,199.4,4.0,47.9,19,Value
D'Andre Swift,RB,2023,199.3,7.0,75.9,20,Big Value
Brian Robinson,RB,2023,198.10000000000002,8.0,94.2,21,Big Value
Jaylen Warren,RB,2023,196.4,10.0,119.8,22,Big Value
Najee Harris,RB,2023,195.5,3.0,30.4,23,
De'Von Achane,RB,2023,190.7,10.0,117.8,24,Big Value
Gus Edwards,RB,2023,187.0,14.0,160.6,25,
Austin Ekeler,RB,2023,185.4,1.0,5.0,26,Season Ender
Chuba Hubbard,RB,2023,182.5,14.0,160.7,27,
Josh Jacobs,RB,2023,181.1,2.0,21.9,28,Big Bust
Javonte Williams,RB,2023,179.2,7.0,72.8,29,
Ezekiel Elliott,RB,2023,174.5,,,30,
Zack Moss,RB,2023,169.6,14.0,163.0,31,
Devin Singletary,RB,2023,167.34,11.0,130.7,32,
Jonathan Taylor,RB,2023,156.4,3.0,25.9,33,Big Bust
Tyjae Spears,RB,2023,153.8,13.0,150.9,34,
Rhamondre Stevenson,RB,2023,145.70000000000002,2.0,23.4,35,Big Bust
Tyler Allgeier,RB,2023,137.6,11.0,125.0,36,
Aaron Jones,RB,2023,134.9,4.0,38.9,37,Bust
Alexander Mattison,RB,2023,133.20000000000002,5.0,56.9,38,Bust
Antonio Gibson,RB,2023,127.4,8.0,88.9,39,
Samaje Perine,RB,2023,121.30000000000001,9.0,99.3,40,
Kareem Hunt,RB,2023,118.5,,,41,
AJ Dillon,RB,2023,117.60000000000001,8.0,91.7,42,
Khalil Herbert,RB,2023,112.5,8.0,94.4,43,
Justice Hill,RB,2023,109.30000000000001,,,44,
Zach Charbonnet,RB,2023,106.1,9.0,107.2,45,
Jaleel McLaughlin,RB,2023,106.0,,,46,
Roschon Johnson,RB,2023,102.1,14.0,157.7,47,
Ty Chandler,RB,2023,101.0,,,48,
Kenny Gainwell,RB,2023,97.38,11.0,131.1,49,
Rico Dowdle,RB,2023,91.5,,,50,
D'Onta Foreman,RB,2023,91.2,12.0,137.1,51,
Miles Sanders,RB,2023,87.60000000000001,5.0,52.9,52,Bust
Jerick McKinnon,RB,2023,84.36,10.0,111.3,53,
Latavius Murray,RB,2023,82.9,,,54,
Dameon Pierce,RB,2023,82.7,5.0,57.0,55,Bust
Zamir White,RB,2023,73.9,13.0,153.7,56,
Emari Demercado,RB,2023,73.3,,,57,
Clyde Edwards-Helaire,RB,2023,70.10000000000001,14.0,157.9,58,
Keaton Mitchell,RB,2023,69.9,,,59,
Joshua Kelley,RB,2023,61.7,,,60,
Sam LaPorta,TE,2023,239.3,13.0,152.9,1,Big Value
Evan Engram,TE,2023,230.3,8.0,87.9,2,
Travis Kelce,TE,2023,219.4,1.0,5.9,3,
T.J. Hockenson,TE,2023,219.0,4.0,44.2,4,
George Kittle,TE,2023,203.20000000000002,5.0,55.7,5,
David Njoku,TE,2023,201.2,9.0,103.8,6,Big Value
Trey McBride,TE,2023,181.5,,,7,
Cole Kmet,TE,2023,181.1,13.0,146.0,8,
Jake Ferguson,TE,2023,177.1,14.0,161.9,9,
Dalton Schultz,TE,2023,150.5,10.0,117.4,10,
Dalton Kincaid,TE,2023,150.3,13.0,146.9,11,
Taysom Hill,TE,2023,143.52,,,12,
Kyle Pitts,TE,2023,137.3,7.0,74.6,13,
Dallas Goedert,TE,2023,136.3,6.0,69.7,14,
Mark Andrews,TE,2023,135.4,3.0,28.9,15,Big Bust
Logan Thomas,TE,2023,126.8,,,16,
Jonnu Smith,TE,2023,124.2,,,17,
Tyler Conklin,TE,2023,123.1,,,18,
Hunter Henry,TE,2023,119.9,,,19,
Cade Otton,TE,2023,118.5,,,20,
Chig Okonkwo,TE,2023,113.4,12.0,140.4,21,
Darren Waller,TE,2023,113.2,5.0,60.3,22,
Gerald Everett,TE,2023,111.10000000000001,13.0,154.9,23,
Tyler Higbee,TE,2023,108.5,11.0,131.6,24,
CeeDee Lamb,WR,2023,403.20000000000005,1.0,11.0,1,
Tyreek Hill,WR,2023,376.4,1.0,4.4,2,
Amon-Ra St. Brown,WR,2023,330.90000000000003,2.0,13.2,3,
Puka Nacua,WR,2023,298.5,16.0,,4,Season Winner
A.J. Brown,WR,2023,289.6,1.0,12.5,5,
DJ Moore,WR,2023,286.5,4.0,44.7,6,Big Value
Mike Evans,WR,2023,282.5,6.0,67.6,7,Big Value
Keenan Allen,WR,2023,278.86,3.0,29.2,8,
Stefon Diggs,WR,2023,273.8,1.0,8.5,9,
Davante Adams,WR,2023,265.40000000000003,2.0,15.6,10,
Ja'Marr Chase,WR,2023,262.72,1.0,2.4,11,
Nico Collins,WR,2023,260.4,10.0,113.1,12,Season Winner
Michael Pittman,WR,2023,252.20000000000002,6.0,63.8,13,Value
Brandon Aiyuk,WR,2023,249.2,5.0,57.0,14,Value
Deebo Samuel Sr.,WR,2023,243.7,4.0,37.2,15,Value
Chris Olave,WR,2023,231.3,2.0,20.4,16,
Adam Thielen,WR,2023,231.0,11.0,126.3,17,Big Value
Calvin Ridley,WR,2023,229.9,3.0,29.2,18,
DeVonta Smith,WR,2023,227.6,2.0,23.3,19,
Amari Cooper,WR,2023,227.0,3.0,35.4,20,
DK Metcalf,WR,2023,225.4,3.0,30.8,21,
DeAndre Hopkins,WR,2023,223.6,4.0,41.4,22,
Jordan Addison,WR,2023,221.3,7.0,78.4,23,Big Value
Jakobi Meyers,WR,2023,218.58,10.0,109.4,24,Big Value
Jayden Reed,WR,2023,217.20000000000002,,,25,
Garrett Wilson,WR,2023,213.2,2.0,15.6,26,Big Bust
Rashee Rice,WR,2023,212.5,,,27,
Chris Godwin Jr.,WR,2023,209.2,5.0,49.3,28,
George Pickens,WR,2023,208.8,6.0,70.0,29,
Zay Flowers,WR,2023,206.4,9.0,100.0,30,
Terry McLaurin,WR,2023,203.20000000000002,5.0,49.7,31,
Tyler Lockett,WR,2023,202.4,5.0,55.7,32,
Justin Jefferson,WR,2023,202.2,1.0,1.4,33,Season Ender
Jaylen Waddle,WR,2023,198.60000000000002,2.0,19.9,34,Big Bust
Courtland Sutton,WR,2023,190.20000000000002,8.0,87.0,35,
Romeo Doubs,WR,2023,174.4,11.0,127.7,36,
Drake London,WR,2023,174.38,4.0,44.1,37,Bust
Brandin Cooks,WR,2023,173.2,8.0,85.1,38,
Tank Dell,WR,2023,165.0,,,39,
Cooper Kupp,WR,2023,164.4,1.0,7.0,40,Season Ender
Gabe Davis,WR,2023,161.4,8.0,89.5,41,
Rashid Shaheed,WR,2023,157.6,,,42,
Curtis Samuel,WR,2023,157.2,,,43,
Josh Downs,WR,2023,157.1,,,44,
Diontae Johnson,WR,2023,152.7,5.0,53.4,45,Bust
Darius Slayton,WR,2023,151.0,,,46,
Christian Kirk,WR,2023,150.26,5.0,60.3,47,Bust
Jaxon Smith-Njigba,WR,2023,149.8,7.0,83.0,48,
Tyler Boyd,WR,2023,144.8,11.0,130.4,49,
Jerry Jeudy,WR,2023,141.8,4.0,44.8,50,Bust
Tee Higgins,WR,2023,137.6,3.0,26.6,51,Big Bust
Marquise Brown,WR,2023,134.70000000000002,,,52,
Wan'Dale Robinson,WR,2023,133.2,14.0,157.2,53,
Elijah Moore,WR,2023,132.10000000000002,9.0,97.2,54,
Josh Reynolds,WR,2023,128.8,,,55,
Jahan Dotson,WR,2023,124.8,7.0,73.1,56,
K.J. Osborn,WR,2023,120.0,14.0,160.2,57,
Dontayvion Wicks,WR,2023,119.76,,,58,
DJ Chark,WR,2023,115.5,12.0,143.2,59,
Michael Wilson,WR,2023,114.5,,,60,
